page_likes,page_interaction,page_category,tot_no_comments_bef,no_comments_24h,no_comments_48_24h,no_comments_24h_after_pub,delta_48_24h,character_count_post,no_shares_post,day_posted,current_day,has_new_comments,ID
10135,1025,24,7,0,7,7,-7,284,1,SATURDAY,MONDAY,NA,P10317
142636,19782,9,22,3,19,22,-16,58,26,WEDNESDAY,THURSDAY,NA,P10318
70695,7237,18,8,0,1,7,-1,131,2,SUNDAY,WEDNESDAY,NA,P10319
1457476,3961,10,0,0,0,0,0,115,13,TUESDAY,THURSDAY,NA,P10320
212881,25,16,97,2,9,91,-7,207,100,THURSDAY,SUNDAY,NA,P10321
518876,51411,24,13,13,0,13,13,127,84,FRIDAY,SATURDAY,NA,P10322
309914,5432,26,1,0,0,1,0,418,63,THURSDAY,SATURDAY,NA,P10323
55275,1834,13,1,1,0,1,1,228,2,WEDNESDAY,FRIDAY,NA,P10324
1611220,9484,31,103,5,31,85,-26,109,1253,WEDNESDAY,FRIDAY,NA,P10325
309914,5432,26,3,1,2,3,-1,291,84,THURSDAY,SATURDAY,NA,P10326
608825,11239,44,33,33,0,33,33,34,201,MONDAY,TUESDAY,NA,P10327
20131,27,24,0,0,0,0,0,59,1,FRIDAY,SUNDAY,NA,P10328
274207,100435,18,58,1,7,53,-6,13,3,FRIDAY,MONDAY,NA,P10329
608825,11239,44,19,19,0,19,19,24,90,FRIDAY,SATURDAY,NA,P10330
100625,1280,105,2,0,2,2,-2,107,2,TUESDAY,THURSDAY,NA,P10331
454,3,62,0,0,0,0,0,79,1,WEDNESDAY,THURSDAY,NA,P10332
2001197,1053,2,34,0,7,34,-7,395,44,THURSDAY,SATURDAY,NA,P10333
867486,21963,4,4,0,2,3,-2,0,3,TUESDAY,THURSDAY,NA,P10334
400487,57833,13,17,1,7,14,-6,167,18,WEDNESDAY,FRIDAY,NA,P10335
343688,13610,24,52,52,0,52,52,49,11,MONDAY,TUESDAY,NA,P10336
104037,30,14,6,6,0,6,6,30,70,TUESDAY,WEDNESDAY,NA,P10337
2549867,177095,9,946,111,835,928,-724,85,460,TUESDAY,WEDNESDAY,NA,P10338
96918,4495,8,3,3,0,3,3,149,14,MONDAY,TUESDAY,NA,P10339
28325843,571967,61,228,27,48,178,-21,146,2044,MONDAY,THURSDAY,NA,P10340
2470711,271475,9,129,129,0,129,129,107,40,TUESDAY,WEDNESDAY,NA,P10341
4526533,111134,9,37,37,0,37,37,94,2,TUESDAY,TUESDAY,NA,P10342
244175,15135,18,44,44,0,44,44,265,2,TUESDAY,WEDNESDAY,NA,P10343
27147,2260,28,3,0,0,3,0,368,3,FRIDAY,MONDAY,NA,P10344
246883,10884,24,7,4,3,7,1,0,20,THURSDAY,SATURDAY,NA,P10345
165002,25302,36,8,1,7,8,-6,21,3,MONDAY,WEDNESDAY,NA,P10346
595191,1561,16,34,34,0,34,34,2068,64,WEDNESDAY,THURSDAY,NA,P10347
244175,15135,18,26,7,19,25,-12,83,1,TUESDAY,THURSDAY,NA,P10348
41813,10840,2,16,0,3,15,-3,0,41,SUNDAY,TUESDAY,NA,P10349
25599,1835,32,4,4,0,4,4,0,4,MONDAY,MONDAY,NA,P10350
23055,67,36,22,22,0,22,22,75,152,WEDNESDAY,THURSDAY,NA,P10351
672411,14221,9,182,3,20,173,-17,339,57,MONDAY,WEDNESDAY,NA,P10352
3432568,36997,9,4,4,0,4,4,126,2,MONDAY,TUESDAY,NA,P10353
891159,106158,9,32,11,21,31,-10,242,12,FRIDAY,SUNDAY,NA,P10354
2516731,20529,21,23,23,0,23,23,76,304,THURSDAY,FRIDAY,NA,P10355
13742,66,17,0,0,0,0,0,167,2,THURSDAY,SUNDAY,NA,P10356
1408791,172,23,0,0,0,0,0,0,44,THURSDAY,SATURDAY,NA,P10357
12802,31,29,2,2,0,2,2,0,38,WEDNESDAY,THURSDAY,NA,P10358
89879,1257,14,2,0,2,2,-2,150,4,SATURDAY,SUNDAY,NA,P10359
895296,35681,16,93,1,15,77,-14,7,104,TUESDAY,FRIDAY,NA,P10360
242526,701,4,4,4,0,4,4,221,13,MONDAY,MONDAY,NA,P10361
81756,2947,36,12,0,12,12,-12,158,28,TUESDAY,THURSDAY,NA,P10362
236881,36034,40,1,0,1,1,-1,104,3,THURSDAY,SATURDAY,NA,P10363
865437,23219,24,160,8,30,139,-22,46,14,SATURDAY,TUESDAY,NA,P10364
192885,2647,24,17,7,10,17,-3,341,53,THURSDAY,FRIDAY,NA,P10365
316982,61205,42,11,2,5,9,-3,226,59,SUNDAY,TUESDAY,NA,P10366
204478,3661,92,2,1,1,1,0,126,1,MONDAY,THURSDAY,NA,P10367
1492303,187752,24,743,42,94,640,-52,118,191,THURSDAY,SUNDAY,NA,P10368
825,21,18,1,0,1,1,-1,437,1,THURSDAY,FRIDAY,NA,P10369
19465,1578,18,8,0,3,6,-3,156,1,FRIDAY,MONDAY,NA,P10370
94905,5573,18,11,3,8,10,-5,74,3,TUESDAY,WEDNESDAY,NA,P10371
798622,34668,5,7,7,0,7,7,135,31,THURSDAY,FRIDAY,NA,P10372
3159268,155474,73,19,0,6,18,-6,178,4,WEDNESDAY,SATURDAY,NA,P10373
58594,498,36,26,3,8,21,-5,161,194,MONDAY,WEDNESDAY,NA,P10374
6292,114,24,4,4,0,4,4,25,1,TUESDAY,WEDNESDAY,NA,P10375
343688,13610,24,47,47,0,47,47,79,12,SATURDAY,SUNDAY,NA,P10376
292911,25073,24,9,9,0,9,9,171,1,FRIDAY,SATURDAY,NA,P10377
28325843,571967,61,401,135,266,357,-131,214,1633,TUESDAY,THURSDAY,NA,P10378
23985,2773,36,5,3,2,5,1,35,12,SATURDAY,MONDAY,NA,P10379
25281,65,39,14,0,1,14,-1,380,3,WEDNESDAY,FRIDAY,NA,P10380
798622,34668,5,16,16,0,16,16,3417,83,SATURDAY,SUNDAY,NA,P10381
1204214,6418,1,2,0,2,2,-2,14,32,TUESDAY,THURSDAY,NA,P10382
1340759,49392,9,8,8,0,8,8,150,2,MONDAY,TUESDAY,NA,P10383
99033,1053,32,15,0,4,13,-4,55,51,SATURDAY,TUESDAY,NA,P10384
865437,23219,24,20,20,0,20,20,73,32,FRIDAY,FRIDAY,NA,P10385
468063,137,77,19,19,0,19,19,11,12,FRIDAY,FRIDAY,NA,P10386
965964,11631,9,136,0,17,133,-17,176,205,MONDAY,WEDNESDAY,NA,P10387
165002,25302,36,12,12,0,12,12,21,76,WEDNESDAY,WEDNESDAY,NA,P10388
3544586,227617,9,90,21,69,86,-48,112,50,TUESDAY,WEDNESDAY,NA,P10389
14363,675,68,2,1,1,1,0,175,2,FRIDAY,SUNDAY,NA,P10390
6379081,54297,24,343,343,0,343,343,121,1041,SATURDAY,SUNDAY,NA,P10391
115804,22,46,16,7,9,14,-2,7,57,SATURDAY,MONDAY,NA,P10392
5957,525,76,0,0,0,0,0,19,1,SATURDAY,SUNDAY,NA,P10393
66311,442,75,0,0,0,0,0,91,1,MONDAY,TUESDAY,NA,P10394
1426027,8025,1,23,1,22,22,-21,204,1,TUESDAY,THURSDAY,NA,P10395
29392,597,91,3,0,3,3,-3,112,1,MONDAY,WEDNESDAY,NA,P10396
329587,11271,4,9,3,6,6,-3,100,15,FRIDAY,SUNDAY,NA,P10397
1045111,34768,16,6,1,0,5,1,0,659,FRIDAY,MONDAY,NA,P10398
236881,36034,40,71,1,3,68,-2,135,62,MONDAY,THURSDAY,NA,P10399
269481,4381,38,0,0,0,0,0,0,13,WEDNESDAY,THURSDAY,NA,P10400
25247,6182,24,8,8,0,8,8,42,1,THURSDAY,FRIDAY,NA,P10401
4072194,161174,9,122,122,0,122,122,82,125,THURSDAY,THURSDAY,NA,P10402
565299,53207,18,120,2,5,114,-3,75,186,WEDNESDAY,SATURDAY,NA,P10403
58594,498,36,7,0,7,7,-7,267,39,MONDAY,TUESDAY,NA,P10404
4290409,131422,9,133,2,40,126,-38,196,141,THURSDAY,SATURDAY,NA,P10405
425753,10938,31,45,45,0,45,45,94,201,WEDNESDAY,THURSDAY,NA,P10406
356059,27989,8,61,2,21,56,-19,44,3,MONDAY,THURSDAY,NA,P10407
2075758,17605,9,41,41,0,41,41,144,3,TUESDAY,TUESDAY,NA,P10408
50469,2456,32,1,0,0,1,0,384,3,FRIDAY,MONDAY,NA,P10409
2470711,271475,9,72,72,0,72,72,161,171,TUESDAY,WEDNESDAY,NA,P10410
1426027,8025,1,6,1,5,5,-4,45,30,MONDAY,WEDNESDAY,NA,P10411
184,1,27,0,0,0,0,0,0,5,MONDAY,TUESDAY,NA,P10412
3337470,11736,40,2,2,0,2,2,212,30,SATURDAY,SATURDAY,NA,P10413
2688,58,27,0,0,0,0,0,169,1,FRIDAY,SATURDAY,NA,P10414
236881,36034,40,8,0,3,6,-3,83,22,FRIDAY,SUNDAY,NA,P10415
1422427,35610,9,11,0,1,10,-1,0,3,TUESDAY,FRIDAY,NA,P10416
212300,1153,24,9,9,0,9,9,27,50,TUESDAY,WEDNESDAY,NA,P10417
1552629,64641,9,106,8,98,101,-90,270,102,WEDNESDAY,FRIDAY,NA,P10418
18236,81,4,9,9,0,9,9,0,3,SATURDAY,SATURDAY,NA,P10419
19465,1578,18,10,0,2,8,-2,30,3,SUNDAY,TUESDAY,NA,P10420
165002,25302,36,7,0,7,7,-7,258,12,MONDAY,WEDNESDAY,NA,P10421
24148,249,82,0,0,0,0,0,432,2,WEDNESDAY,THURSDAY,NA,P10422
684014,72208,9,141,141,0,141,141,75,85,SUNDAY,MONDAY,NA,P10423
253349,1888,44,1,1,0,1,1,134,1,TUESDAY,WEDNESDAY,NA,P10424
633016,168920,18,64,64,0,64,64,93,65,THURSDAY,THURSDAY,NA,P10425
1501889,33752,14,7,0,7,7,-7,224,14,THURSDAY,SATURDAY,NA,P10426
142636,19782,9,51,0,31,51,-31,45,13,SUNDAY,TUESDAY,NA,P10427
5365996,102442,9,43,3,40,41,-37,147,19,TUESDAY,THURSDAY,NA,P10428
1552629,64641,9,166,23,143,150,-120,28,330,WEDNESDAY,FRIDAY,NA,P10429
513160,73487,42,102,0,7,96,-7,1194,107,SUNDAY,TUESDAY,NA,P10430
329587,11271,4,7,4,3,7,1,0,2,WEDNESDAY,THURSDAY,NA,P10431
441554,60660,4,15,15,0,15,15,80,17,THURSDAY,THURSDAY,NA,P10432
192885,2647,24,15,15,0,15,15,313,22,SUNDAY,MONDAY,NA,P10433
20329,136,24,4,0,4,4,-4,204,2,SATURDAY,MONDAY,NA,P10434
24148,249,82,0,0,0,0,0,130,1,WEDNESDAY,FRIDAY,NA,P10435
1552629,64641,9,117,10,107,116,-97,52,88,SATURDAY,MONDAY,NA,P10436
4233,1005,18,0,0,0,0,0,14,1,TUESDAY,WEDNESDAY,NA,P10437
297702,488,55,0,0,0,0,0,68,1,THURSDAY,FRIDAY,NA,P10438
865437,23219,24,48,48,0,48,48,47,5,THURSDAY,THURSDAY,NA,P10439
3608,420,18,0,0,0,0,0,0,2,TUESDAY,WEDNESDAY,NA,P10440
579587,33116,18,98,16,82,90,-66,252,6,TUESDAY,WEDNESDAY,NA,P10441
28325843,571967,61,27,11,16,24,-5,110,32,SUNDAY,MONDAY,NA,P10442
3544586,227617,9,81,81,0,81,81,62,220,THURSDAY,FRIDAY,NA,P10443
115313,3650,24,1,0,1,1,-1,321,1,TUESDAY,THURSDAY,NA,P10444
57916,4150,80,24,2,13,22,-11,125,37,WEDNESDAY,FRIDAY,NA,P10445
2239009,87722,9,3,0,3,3,-3,74,1,MONDAY,TUESDAY,NA,P10446
8070687,278406,9,107,107,0,107,107,125,188,SATURDAY,SATURDAY,NA,P10447
115804,22,46,2,2,0,1,2,7,41,WEDNESDAY,FRIDAY,NA,P10448
25879,1970,36,14,14,0,14,14,0,75,THURSDAY,FRIDAY,NA,P10449
82197,3788,14,3,0,2,3,-2,212,5,TUESDAY,THURSDAY,NA,P10450
100625,1280,105,2,0,2,2,-2,129,2,SUNDAY,TUESDAY,NA,P10451
1422427,35610,9,1,1,0,1,1,65,1,WEDNESDAY,THURSDAY,NA,P10452
343688,13610,24,4,1,3,4,-2,326,11,WEDNESDAY,THURSDAY,NA,P10453
4662,12,49,0,0,0,0,0,0,2,TUESDAY,TUESDAY,NA,P10454
8580,589,44,0,0,0,0,0,168,1,TUESDAY,THURSDAY,NA,P10455
3150,5,80,1,0,1,1,-1,203,31,SUNDAY,TUESDAY,NA,P10456
165002,25302,36,281,281,0,281,281,232,822,WEDNESDAY,THURSDAY,NA,P10457
1009493,47503,9,8,8,0,8,8,152,16,SUNDAY,SUNDAY,NA,P10458
640987,84288,1,9,2,7,8,-5,64,12,SUNDAY,MONDAY,NA,P10459
7461335,218090,9,72,72,0,72,72,757,26,SUNDAY,MONDAY,NA,P10460
595191,1561,16,5,5,0,5,5,137,51,MONDAY,TUESDAY,NA,P10461
867486,21963,4,28,5,23,28,-18,18,2,SATURDAY,SUNDAY,NA,P10462
2046147,123685,9,196,129,67,194,62,179,89,SATURDAY,SUNDAY,NA,P10463
3337470,11736,40,7,7,0,7,7,381,17,THURSDAY,THURSDAY,NA,P10464
155266,2454,60,1,0,1,1,-1,56,39,SATURDAY,MONDAY,NA,P10465
4488,124,40,20,0,11,20,-11,721,78,WEDNESDAY,SATURDAY,NA,P10466
12293,3015,32,1,1,0,1,1,0,2,FRIDAY,SATURDAY,NA,P10467
3280313,39324,14,48,3,32,44,-29,91,160,FRIDAY,SUNDAY,NA,P10468
131134,53586,66,162,162,0,162,162,22,56,WEDNESDAY,THURSDAY,NA,P10469
12802,31,29,0,0,0,0,0,125,1,FRIDAY,FRIDAY,NA,P10470
11384,226,2,8,0,2,8,-2,274,3,TUESDAY,THURSDAY,NA,P10471
2516731,20529,21,5,0,2,3,-2,61,61,MONDAY,THURSDAY,NA,P10472
367390,2678,100,5,0,4,3,-4,218,40,SATURDAY,MONDAY,NA,P10473
96918,4495,8,8,8,0,8,8,33,1,TUESDAY,TUESDAY,NA,P10474
55275,1834,13,0,0,0,0,0,168,2,THURSDAY,SATURDAY,NA,P10475
16192,210,27,1,1,0,1,1,0,1,FRIDAY,SATURDAY,NA,P10476
1045111,34768,16,1,0,0,1,0,0,265,WEDNESDAY,SATURDAY,NA,P10477
32590,628,50,1,1,0,1,1,834,2,WEDNESDAY,THURSDAY,NA,P10478
32745,770,32,0,0,0,0,0,313,14,WEDNESDAY,FRIDAY,NA,P10479
1013,1,85,0,0,0,0,0,164,1,FRIDAY,MONDAY,NA,P10480
94905,5573,18,5,5,0,5,5,162,1,THURSDAY,FRIDAY,NA,P10481
176923,4211,51,0,0,0,0,0,0,2,WEDNESDAY,WEDNESDAY,NA,P10482
285320,5510,24,45,45,0,45,45,97,39,WEDNESDAY,WEDNESDAY,NA,P10483
513160,73487,42,3,3,0,3,3,94,63,SUNDAY,MONDAY,NA,P10484
356059,27989,8,61,26,35,59,-9,2,33,FRIDAY,SATURDAY,NA,P10485
4975857,87422,9,387,387,0,387,387,87,1859,WEDNESDAY,WEDNESDAY,NA,P10486
1872,0,16,0,0,0,0,0,0,1,SATURDAY,MONDAY,NA,P10487
9774,2397,16,0,0,0,0,0,13,12,WEDNESDAY,FRIDAY,NA,P10488
640987,84288,1,2,2,0,2,2,52,30,SUNDAY,SUNDAY,NA,P10489
50563,2348,32,1,0,1,1,-1,100,11,WEDNESDAY,THURSDAY,NA,P10490
175201,54849,36,76,13,47,63,-34,130,170,THURSDAY,SATURDAY,NA,P10491
2071999,150355,57,4,4,0,4,4,0,6,TUESDAY,WEDNESDAY,NA,P10492
1975842,140870,9,39,39,0,39,39,123,129,TUESDAY,WEDNESDAY,NA,P10493
413095,19301,24,19,4,15,16,-11,136,20,MONDAY,WEDNESDAY,NA,P10494
4290409,131422,9,75,25,50,74,-25,204,130,FRIDAY,SATURDAY,NA,P10495
123680,1492,32,6,0,4,5,-4,220,3,MONDAY,WEDNESDAY,NA,P10496
3032492,114769,9,0,0,0,0,0,50,2,WEDNESDAY,WEDNESDAY,NA,P10497
155266,2454,60,2,0,0,2,0,91,30,THURSDAY,SATURDAY,NA,P10498
3608,420,18,1,1,0,1,1,1233,2,MONDAY,TUESDAY,NA,P10499
19465,1578,18,26,13,13,24,0,16,2,THURSDAY,FRIDAY,NA,P10500
1975842,140870,9,72,0,9,71,-9,51,194,MONDAY,WEDNESDAY,NA,P10501
9774,2397,16,3,0,0,3,0,28,2,MONDAY,WEDNESDAY,NA,P10502
300536,28053,24,16,16,0,16,16,201,1,SUNDAY,SUNDAY,NA,P10503
1616,18,24,5,0,0,5,0,132,2,WEDNESDAY,FRIDAY,NA,P10504
416948,57260,18,68,68,0,68,68,133,76,WEDNESDAY,THURSDAY,NA,P10505
413095,19301,24,9,2,7,9,-5,11,41,MONDAY,WEDNESDAY,NA,P10506
6887,20,19,2,2,0,2,2,182,1,WEDNESDAY,WEDNESDAY,NA,P10507
82197,3788,14,4,0,1,3,-1,137,13,MONDAY,THURSDAY,NA,P10508
22035,2310,24,0,0,0,0,0,84,1,FRIDAY,SATURDAY,NA,P10509
3544586,227617,9,104,4,36,99,-32,138,218,WEDNESDAY,FRIDAY,NA,P10510
416948,57260,18,19,2,17,18,-15,0,28,SATURDAY,MONDAY,NA,P10511
1833326,2081,14,78,11,67,75,-56,31,124,TUESDAY,WEDNESDAY,NA,P10512
257320,81826,20,362,17,67,307,-50,102,267,TUESDAY,THURSDAY,NA,P10513
25879,1970,36,18,0,0,18,0,0,89,MONDAY,THURSDAY,NA,P10514
663025,5954,24,34,4,30,30,-26,118,4,SUNDAY,TUESDAY,NA,P10515
3432568,36997,9,13,2,11,13,-9,142,19,SUNDAY,TUESDAY,NA,P10516
246883,10884,24,27,1,7,22,-6,0,40,FRIDAY,MONDAY,NA,P10517
56474,2074,36,6,6,0,6,6,211,12,FRIDAY,SATURDAY,NA,P10518
133574,22660,38,49,49,0,49,49,168,1,TUESDAY,WEDNESDAY,NA,P10519
356059,27989,8,161,3,19,144,-16,16,33,WEDNESDAY,SATURDAY,NA,P10520
656085,62122,39,2,2,0,2,2,85,3,WEDNESDAY,THURSDAY,NA,P10521
2078654,84453,9,28,28,0,28,28,114,30,SATURDAY,SUNDAY,NA,P10522
212300,1153,24,3,3,0,3,3,78,27,MONDAY,TUESDAY,NA,P10523
313452,86759,8,165,38,127,148,-89,134,66,FRIDAY,SATURDAY,NA,P10524
646,3,17,0,0,0,0,0,0,1,WEDNESDAY,THURSDAY,NA,P10525
2239009,87722,9,77,0,0,77,0,69,24,SUNDAY,WEDNESDAY,NA,P10526
83580,6366,20,20,20,0,20,20,102,21,TUESDAY,WEDNESDAY,NA,P10527
410245,27432,24,69,25,44,66,-19,15,11,FRIDAY,SUNDAY,NA,P10528
668834,42523,9,65,65,0,65,65,113,131,WEDNESDAY,THURSDAY,NA,P10529
23223,121,36,2,2,0,2,2,0,18,MONDAY,TUESDAY,NA,P10530
579587,33116,18,11,11,0,11,11,221,23,SATURDAY,SUNDAY,NA,P10531
965964,11631,9,14,0,0,14,0,183,49,FRIDAY,SUNDAY,NA,P10532
672411,14221,9,38,6,32,33,-26,154,63,SUNDAY,TUESDAY,NA,P10533
640987,84288,1,4,1,3,4,-2,75,64,MONDAY,WEDNESDAY,NA,P10534
1181430,2307,17,2,0,0,2,0,0,1,FRIDAY,MONDAY,NA,P10535
642243,12330,24,74,1,4,71,-3,42,3,TUESDAY,THURSDAY,NA,P10536
12293,3015,32,0,0,0,0,0,43,1,SATURDAY,TUESDAY,NA,P10537
99033,1053,32,3,3,0,3,3,0,15,FRIDAY,FRIDAY,NA,P10538
2470711,271475,9,20,10,10,20,0,427,46,THURSDAY,SATURDAY,NA,P10539
1209904,106641,24,163,8,67,149,-59,242,34,FRIDAY,SUNDAY,NA,P10540
89879,1257,14,1,1,0,1,1,142,2,TUESDAY,WEDNESDAY,NA,P10541
420838,606,39,5,5,0,5,5,29,40,WEDNESDAY,THURSDAY,NA,P10542
6141231,290050,36,150,150,0,150,150,60,338,TUESDAY,WEDNESDAY,NA,P10543
4913787,158828,9,288,137,151,280,-14,118,1143,TUESDAY,WEDNESDAY,NA,P10544
358398,8153,18,39,3,36,36,-33,149,2,WEDNESDAY,FRIDAY,NA,P10545
2001197,1053,2,10,0,2,9,-2,199,3,TUESDAY,THURSDAY,NA,P10546
209979,185,46,0,0,0,0,0,0,53,TUESDAY,TUESDAY,NA,P10547
20131,27,24,0,0,0,0,0,115,2,FRIDAY,MONDAY,NA,P10548
1548753,59597,9,26,0,5,25,-5,95,28,MONDAY,WEDNESDAY,NA,P10549
454393,66403,96,1,0,0,1,0,0,1,TUESDAY,FRIDAY,NA,P10550
3002026,77240,9,34,34,0,34,34,0,19,WEDNESDAY,WEDNESDAY,NA,P10551
33326385,27408,47,93,9,37,83,-28,122,91,SATURDAY,MONDAY,NA,P10552
297702,488,55,0,0,0,0,0,26,1,TUESDAY,THURSDAY,NA,P10553
1103,3,16,2,1,1,2,0,16,3,SATURDAY,MONDAY,NA,P10554
4024,0,16,2,0,0,2,0,16,1,SATURDAY,MONDAY,NA,P10555
640987,84288,1,16,0,3,15,-3,76,91,FRIDAY,MONDAY,NA,P10556
274207,100435,18,464,136,328,431,-192,8,59,SATURDAY,MONDAY,NA,P10557
2078654,84453,9,101,44,57,96,-13,755,56,TUESDAY,WEDNESDAY,NA,P10558
615014,3398,18,17,0,17,17,-17,31,1,SUNDAY,TUESDAY,NA,P10559
94905,5573,18,19,19,0,19,19,169,1,WEDNESDAY,THURSDAY,NA,P10560
55275,1834,13,1,0,0,1,0,360,2,TUESDAY,FRIDAY,NA,P10561
155266,2454,60,6,1,5,5,-4,71,38,MONDAY,WEDNESDAY,NA,P10562
1340759,49392,9,21,0,1,20,-1,121,27,FRIDAY,MONDAY,NA,P10563
2071999,150355,57,8,8,0,8,8,95,5,WEDNESDAY,WEDNESDAY,NA,P10564
2516731,20529,21,47,47,0,47,47,33,3,SATURDAY,SATURDAY,NA,P10565
2239009,87722,9,49,25,24,49,1,141,44,THURSDAY,SATURDAY,NA,P10566
55157,2727,35,0,0,0,0,0,14,1,SUNDAY,TUESDAY,NA,P10567
21292,525,32,0,0,0,0,0,63,1,THURSDAY,SATURDAY,NA,P10568
1720897,10096,46,12,12,0,12,12,229,22,TUESDAY,WEDNESDAY,NA,P10569
416948,57260,18,46,20,26,42,-6,65,29,SUNDAY,MONDAY,NA,P10570
25879,1970,36,13,1,3,11,-2,99,24,SATURDAY,TUESDAY,NA,P10571
131134,53586,66,66,1,14,64,-13,10,5,THURSDAY,SATURDAY,NA,P10572
683375,16319,31,3,0,3,3,-3,110,32,TUESDAY,WEDNESDAY,NA,P10573
35879,914,27,0,0,0,0,0,80,1,WEDNESDAY,SATURDAY,NA,P10574
810,4,67,1,0,0,1,0,0,1,SATURDAY,TUESDAY,NA,P10575
27279,125,18,6,0,1,6,-1,281,2,TUESDAY,FRIDAY,NA,P10576
11782829,11421,14,42,18,24,39,-6,69,223,MONDAY,TUESDAY,NA,P10577
4290409,131422,9,149,1,11,145,-10,115,12,SUNDAY,WEDNESDAY,NA,P10578
101655,33,8,7,0,1,7,-1,59,11,SATURDAY,MONDAY,NA,P10579
400487,57833,13,4,0,0,4,0,157,1,MONDAY,THURSDAY,NA,P10580
3280313,39324,14,136,136,0,136,136,361,400,SUNDAY,MONDAY,NA,P10581
175201,54849,36,136,31,105,133,-74,1593,83,MONDAY,WEDNESDAY,NA,P10582
27147,2260,28,5,0,5,5,-5,253,14,SATURDAY,MONDAY,NA,P10583
1204214,6418,1,3,0,0,3,0,49,66,MONDAY,THURSDAY,NA,P10584
1155,17,22,0,0,0,0,0,22,3,THURSDAY,FRIDAY,NA,P10585
30366,2,17,0,0,0,0,0,184,1,FRIDAY,SATURDAY,NA,P10586
2470711,271475,9,126,74,52,125,22,197,166,WEDNESDAY,FRIDAY,NA,P10587
4913787,158828,9,174,108,66,174,42,142,1087,SATURDAY,SUNDAY,NA,P10588
88853,3169,2,18,9,9,18,0,19,12,SUNDAY,MONDAY,NA,P10589
4072194,161174,9,39,2,7,37,-5,189,47,FRIDAY,MONDAY,NA,P10590
8044,104,101,0,0,0,0,0,166,1,WEDNESDAY,WEDNESDAY,NA,P10591
433536,11192,24,41,41,0,41,41,107,1,TUESDAY,WEDNESDAY,NA,P10592
142636,19782,9,0,0,0,0,0,98,1,MONDAY,MONDAY,NA,P10593
2411555,61797,9,216,29,187,208,-158,161,886,TUESDAY,THURSDAY,NA,P10594
358398,8153,18,102,15,87,96,-72,109,19,TUESDAY,WEDNESDAY,NA,P10595
92347,4867,24,13,13,0,13,13,85,26,FRIDAY,SATURDAY,NA,P10596
142636,19782,9,102,38,64,94,-26,69,1,SUNDAY,TUESDAY,NA,P10597
668834,42523,9,47,3,44,46,-41,186,110,SATURDAY,SUNDAY,NA,P10598
1548753,59597,9,129,15,114,121,-99,157,538,TUESDAY,WEDNESDAY,NA,P10599
791,0,18,2,0,0,2,0,102,1,THURSDAY,SUNDAY,NA,P10600
12996,58,68,3,3,0,3,3,147,2,THURSDAY,THURSDAY,NA,P10601
1057645,119644,24,354,66,288,323,-222,0,50,WEDNESDAY,THURSDAY,NA,P10602
1715845,319402,2,326,20,50,278,-30,0,209,FRIDAY,MONDAY,NA,P10603
8035,69,32,1,0,1,1,-1,0,1,TUESDAY,THURSDAY,NA,P10604
2688,58,27,0,0,0,0,0,792,1,WEDNESDAY,THURSDAY,NA,P10605
1959278,12641,18,22,22,0,22,22,80,3,FRIDAY,FRIDAY,NA,P10606
18481,3,8,4,0,4,4,-4,102,1,SUNDAY,TUESDAY,NA,P10607
1872,0,16,0,0,0,0,0,27,1,TUESDAY,FRIDAY,NA,P10608
865437,23219,24,12,12,0,12,12,132,2,SATURDAY,SATURDAY,NA,P10609
155266,2454,60,0,0,0,0,0,21,3,TUESDAY,FRIDAY,NA,P10610
1552629,64641,9,28,7,21,26,-14,761,48,FRIDAY,SATURDAY,NA,P10611
257320,81826,20,171,171,0,171,171,83,35,SUNDAY,SUNDAY,NA,P10612
3280313,39324,14,231,68,163,216,-95,472,1195,THURSDAY,SATURDAY,NA,P10613
513160,73487,42,7,7,0,7,7,0,54,THURSDAY,THURSDAY,NA,P10614
253349,1888,44,1,1,0,1,1,120,1,FRIDAY,FRIDAY,NA,P10615
32745,770,32,1,1,0,1,1,351,3,TUESDAY,WEDNESDAY,NA,P10616
329587,11271,4,3,0,0,3,0,301,28,THURSDAY,SUNDAY,NA,P10617
4290409,131422,9,54,3,51,52,-48,219,18,WEDNESDAY,FRIDAY,NA,P10618
891159,106158,9,9,9,0,9,9,1925,4,THURSDAY,THURSDAY,NA,P10619
454393,66403,96,3,0,2,2,-2,13,13,SUNDAY,WEDNESDAY,NA,P10620
634995,463,1,2,2,0,2,2,34,2,MONDAY,TUESDAY,NA,P10621
2549867,177095,9,24,2,22,22,-20,145,44,FRIDAY,SUNDAY,NA,P10622
149139,145,14,0,0,0,0,0,49,11,FRIDAY,SATURDAY,NA,P10623
4526533,111134,9,55,0,8,52,-8,78,16,THURSDAY,SATURDAY,NA,P10624
228007,24,16,0,0,0,0,0,684,2,SUNDAY,MONDAY,NA,P10625
4300072,293563,18,82,82,0,82,82,16,117,FRIDAY,SATURDAY,NA,P10626
5365996,102442,9,0,0,0,0,0,153,5,MONDAY,MONDAY,NA,P10627
4072,601,24,1,0,1,1,-1,109,1,FRIDAY,SUNDAY,NA,P10628
4488,124,40,7,0,0,7,0,382,15,THURSDAY,SUNDAY,NA,P10629
413095,19301,24,31,6,25,29,-19,57,89,SATURDAY,SUNDAY,NA,P10630
3002026,77240,9,45,11,34,43,-23,76,275,SATURDAY,SUNDAY,NA,P10631
99033,1053,32,1,1,0,1,1,118,2,TUESDAY,WEDNESDAY,NA,P10632
